Object Type,Count,Size(bytes)
SysTableObject,8152,2934720
FunctionParam,513,4104
void,498,756722
SpriteSource,235,2820
Texture,235,2820
Array/Vector,144,5704
AnimSet,9,14904
Controller,8,160
Mesh,7,112
Prefab,6,336
Animation,4,288
Physics,1,40
Placeholder,1,40
Transform,1,40
Collider,1,40
SpriteSource,1,152
Animation,1,40
Health,1,40
Scoring,1,40
PlayerInput,1,40
ParticleContainer,1,40
Arrow,1,40
CrownShadow,1,40
Numbers,1,40
PlayerAnimation,1,40
SystemClass,1,16
void*,1,16
SpriteArray,1,156
GraphicsClass,1,12
InputClass,1,256
D3DClass,1,368
Physics,1,52
Transform,1,128
CameraClass,1,480
TextureShaderClass,1,28
PlayerAnimation,1,64
map,1,8
ParticleSystem,1,4
ParticleShaderClass,1,24
Collider,1,36
Health,1,44
Sum,9841,3725054
